idx,ko,ko2,en,en2,ch,ve
1,창세기,창,Genesis,Gen,50,1533
2,출애굽기,출,Exodus,Exod,40,1213
3,레위기,레,Leviticus,Lev,27,859
4,민수기,민,Numbers,Num,36,1288
5,신명기,신,Deuteronomy,Deut,34,959
6,여호수아,수,Joshua,Josh,24,658
7,사사기,삿,Judges,Judg,21,618
8,룻기,룻,Ruth,Ruth,4,85
9,사무엘상,삼상,1 Samuel,1Sam,31,810
10,사무엘하,삼하,2 Samuel,2Sam,24,695
11,열왕기상,왕상,1 Kings,1Kgs,22,816
12,열왕기하,왕하,2 Kings,2Kgs,25,719
13,역대상,대상,1 Chronicles,1Chr,29,942
14,역대하,대하,2 Chronicles,2Chr,36,822
15,에스라,스,Ezra,Ezra,10,280
16,느헤미야,느,Nehemiah,Neh,13,406
17,에스더,에,Esther,Esth,10,167
18,욥기,욥,Job,Job,42,1070
19,시편,시,Psalm,Ps,150,2461
20,잠언,잠,Proverbs,Prov,31,915
21,전도서,전,Ecclesiastes,Eccl,12,222
22,아가,아,Song of Solomon,Song,8,117
23,이사야,사,Isaiah,Isa,66,1292
24,예레미야,렘,Jeremiah,Jer,52,1364
25,예레미야애가,애,Lamentations,Lam,5,154
26,에스겔,겔,Ezekiel,Ezek,48,1273
27,다니엘,단,Daniel,Dan,12,357
28,호세아,호,Hosea,Hos,14,197
29,요엘,욜,Joel,Joel,3,73
30,아모스,암,Amos,Amos,9,146
31,오바댜,옵,Obadiah,Obad,1,21
32,요나,욘,Jonah,Jonah,4,48
33,미가,미,Micah,Mic,7,105
34,나훔,나,Nahum,Nah,3,47
35,하박국,합,Habakkuk,Hab,3,56
36,스바냐,습,Zephaniah,Zeph,3,53
37,학개,학,Haggai,Hag,2,38
38,스가랴,슥,Zechariah,Zech,14,211
39,말라기,말,Malachi,Mal,4,55
40,마태복음,마,Matthew,Matt,28,1071
41,마가복음,막,Mark,Mark,16,678
42,누가복음,눅,Luke,Luke,24,1151
43,요한복음,요,John,John,21,879
44,사도행전,행,Acts,Acts,28,1007
45,로마서,롬,Romans,Rom,16,433
46,고린도전서,고전,1 Corinthians,1Cor,16,437
47,고린도후서,고후,2 Corinthians,2Cor,13,257
48,갈라디아서,갈,Galatians,Gal,6,149
49,에베소서,엡,Ephesians,Eph,6,155
50,빌립보서,빌,Philippians,Phil,4,104
51,골로새서,골,Colossians,Col,4,95
52,데살로니가전서,살전,1 Thessalonians,1Thess,5,89
53,데살로니가후서,살후,2 Thessalonians,2Thess,3,47
54,디모데전서,딤전,1 Timothy,1Tim,6,113
55,디모데후서,딤후,2 Timothy,2Tim,4,83
56,디도서,딛,Titus,Titus,3,46
57,빌레몬서,몬,Philemon,Phlm,1,25
58,히브리서,히,Hebrews,Heb,13,303
59,야고보서,약,James,Jas,5,108
60,베드로전서,벧전,1 Peter,1Pet,5,105
61,베드로후서,벧후,2 Peter,2Pet,3,61
62,요한일서,요일,1 John,1John,5,105
63,요한이서,요이,2 John,2John,1,13
64,요한삼서,요삼,3 John,3John,1,14
65,유다서,유,Jude,Jude,1,25
66,요한계시록,계,Revelation,Rev,22,404